ResponseId	Trip_Number	raw_response	units	distance_in_raw_response_units	mode	likely_dominant_mode	distance_in_kilometers
R_3HLcPSJWOUtWrvs	Distance Trip 2	3,970 plane	miles	3970	plane	plane	3970
R_3hmy0BrdYrinrfS	Distance Trip 2	100 train	kilometers	100	train	train	100
R_3ht3myNBktKgu0R	Distance Trip 2	1144 (plane)	kilometers	1144	plane	plane	1144
R_3Hua8rhi8anK9pA	Distance Trip 2	11968	kilometers	11968	unknown	unknown	11968
R_3HYSItyc86reNR4	Distance Trip 2	5322.46	kilometers	5322.46	unknown	unknown	5322.46
R_3IcqT2G4loXl6Mm	Distance Trip 2	402 (train)	kilometers	402	train	train	402
R_3iElG7cwS0Na0MB	Distance Trip 2	4485.81 (plane)	miles	4485.81	plane	plane	4485.81
R_3iIosOap2baMMVa	Distance Trip 2	130 train	miles	130	train	train	130
R_3iJ7PoSgfliZZHK	Distance Trip 2	203 (driving)	miles	203	car	car	203
R_3ijOf9Ye3pnV0jz	Distance Trip 2	8784 (plane)	kilometers	8784	plane	plane	8784
R_3ikCzNNDPdNTLRo	Distance Trip 2	11651.37 (flight)	kilometers	11651.369999999999	plane	plane	11651.369999999999
R_3IPHkCA3kEa0xud	Distance Trip 2	0	miles	0	unknown	unknown	0
R_3IRJhuCzXdyFHq1	Distance Trip 2	185 (train)	miles	185	train	train	185
R_3irRRQ697jnikxo	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3irRu3VoSGWy1D2	Distance Trip 2	60 car	miles	60	car	car	60
R_3j1lyoOAvZ8I2Ly	Distance Trip 2	65, train	kilometers	65	train	train	65
R_3j2OtbvMcceGw1v	Distance Trip 2	1 (walk)	miles	1	foot	foot	1
R_3jdIVghhYznuDoz	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3jeZHpNdgv51w15	Distance Trip 2	800 (train)	kilometers	800	train	train	800
R_3JgtVuma1C4kXHk	Distance Trip 2	1130 (plane)	kilometers	1130	plane	plane	1130
R_3JL5Ira3eIcSbZN	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3k1cwdvFLhCCeKf	Distance Trip 2	130	kilometers	130	unknown	unknown	130
R_3k7jqH94U67Odrf	Distance Trip 2	2241 mi (plane)	miles	2241	plane	plane	2241
R_3KASAFor4Ai13Nk	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3KT7N8RU5US51f8	Distance Trip 2	6168.49	kilometers	6168.49	unknown	unknown	6168.49
R_3L0TCnju9oDg34Z	Distance Trip 2	200 (car, one-way)	kilometers	400	car	car	400
R_3L7lcRfrIhO6ZZs	Distance Trip 2	57 (bus)	miles	57	bus	bus	57
R_3LcgS6jdjnYRZwQ	Distance Trip 2	300 (train)	NA	NA	NA	NA	NA
R_3lFTOIxGN1LFyUd	Distance Trip 2	2700 (flight)	NA	NA	NA	NA	NA
R_3Li14Lvx7iuB8C2	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3lXnQLikcdgedzl	Distance Trip 2	580 (plane)	miles	580	plane	plane	580
R_3LXTPqdYRzO6ENz	Distance Trip 2	1,475 (plane)	miles	1475	plane	plane	1475
R_3M4EchpvSQsgBnE	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3M6vVhZ4osLIolk	Distance Trip 2	0 (conference at home institution)	miles	0	foot	foot	0
R_3M9EGpR8XLOp6TG	Distance Trip 2	290,3 (bus, train)	kilometers	290.3	mixed	train	290.3
R_3MAuKKWtdFXIkcn	Distance Trip 2	2100 (plane)	kilometers	2100	plane	plane	2100
R_3MhA4bIJSqnqEv8	Distance Trip 2	950km (plane, taxi)	kilometers	950	mixed	plane	950
R_3MsewgQbyncA7u6	Distance Trip 2	4090.27 (flight)	miles	4090.27	plane	plane	4090.27
R_3nHQXhsrkg0BKyt	Distance Trip 2	7008	kilometers	7008	unknown	unknown	7008
R_3ni9O3OBlo3cAha	Distance Trip 2	5 (train)	kilometers	5	train	train	5
R_3NIZbrsucyIhGTI	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3no77Alt7Ddxdqr	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3nVGH2nfLPENY0c	Distance Trip 2	0 (local)	miles	0	foot	foot	0
R_3nwlvdPeCDpO2qq	Distance Trip 2	3800	miles	3800	unknown	unknown	3800
R_3O8FSPfkz9aoU6p	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3O8spUD05HEgfVY	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3oAwWSy0DDrDaI7	Distance Trip 2	333.66 (plane)	miles	333.66	plane	plane	333.66
R_3oNqXN2xEsULc47	Distance Trip 2	131.90 miles (car)	miles	131.9	car	car	131.9
R_3P7iExahkHm5jrh	Distance Trip 2	10km	kilometers	10	unknown	unknown	10
R_3Pk3p72Mfjj9orm	Distance Trip 2	1211 (plane)	kilometers	1211	plane	plane	1211
R_3PmIMPYYf1Cc0iq	Distance Trip 2	3 (bus)	miles	3	bus	bus	3
R_3po108JaqUNfUQr	Distance Trip 2	1000 (airplane)	kilometers	1000	plane	plane	1000
R_3prHkXeTuTUSgnq	Distance Trip 2	640	miles	640	unknown	unknown	640
R_3PT7ebWvMBOz0mc	Distance Trip 2	2000	miles	2000	unknown	unknown	2000
R_3PYQreMdV3dpalK	Distance Trip 2	246	kilometers	246	unknown	unknown	246
R_3qCnBIaRUwl3foV	Distance Trip 2	10000	miles	10000	unknown	unknown	10000
R_3qeOJIwQCElnZVr	Distance Trip 2	25  (train)	miles	25	train	train	25
R_3qevH6JQn9zCAS4	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3QLxXBcjll28HAK	Distance Trip 2	Plane	NA	NA	NA	NA	NA
R_3QMDl1LfoxQwOjJ	Distance Trip 2	403.19	kilometers	403.19	unknown	unknown	403.19
R_3qmm5Ea1UTcP08A	Distance Trip 2	1774 (plane)	NA	NA	NA	NA	NA
R_3qpURBeTlhAsFvy	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3qR8XxCAPwoEFFW	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3QRIdpUR3UnQJye	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3QXYqkBVfCDGn1e	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3R1QEPKpR7eaBTa	Distance Trip 2	0	miles	0	unknown	unknown	0
R_3r2LVQGBGsrPWX2	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3R3FfMrIEWy6d0W	Distance Trip 2	230 train	miles	230	train	train	230
R_3ReGHRHTCe8boZ4	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3RfOsnJEsGopUBa	Distance Trip 2	269 miles (plane)	miles	269	plane	plane	269
R_3RgTXA5RobS5YeE	Distance Trip 2	823 (plane)	miles	823	plane	plane	823
R_3RmSnearkyOpOzY	Distance Trip 2	595 (plane)	miles	595	plane	plane	595
R_3RqnbaNgpSzdWud	Distance Trip 2	2350 (plane)	kilometers	2350	plane	plane	2350
R_3RvAofCi5LRfjxw	Distance Trip 2	5900	miles	5900	unknown	unknown	5900
R_3RxgSbYwXok3jCO	Distance Trip 2	383	miles	383	unknown	unknown	383
R_3rZKdSwTnapgxLV	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3s5QxTAZYgLOXV8	Distance Trip 2	5	kilometers	5	unknown	unknown	5
R_3s6zfFPGJyRqza9	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_3sbvyFk0xa8RDc4	Distance Trip 2	1600 (plane)	kilometers	1600	plane	plane	1600
R_3scPHKsVX3qdNhZ	Distance Trip 2	7800 (plane)	kilometers	7800	plane	plane	7800
R_3sghfak5SQMvaFB	Distance Trip 2	6532 (plane)	kilometers	6532	plane	plane	6532
R_3TO2YcJhqKjb1dL	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_40f4gVeysnoKrsd	Distance Trip 2	150 (train)	kilometers	150	train	train	150
R_4GbtcZczFEnDjBT	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_4JkYfEiR15IfQWJ	Distance Trip 2	804	kilometers	804	unknown	unknown	804
R_4ZvZ87S1qrcLDRn	Distance Trip 2	630 km (flight)	kilometers	630	plane	plane	630
R_54KH1tFXDXPctdD	Distance Trip 2	6566 (plane)	kilometers	6566	plane	plane	6566
R_5j3GhNmMEy2Ffzz	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_5mZVBDVeSHEwGlj	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_6PeiqFpK1pPvsQh	Distance Trip 2	745.40 miles (plane)	miles	745.4	plane	plane	745.4
R_6s215F3ZvaeIXJv	Distance Trip 2	1101	miles	1101	unknown	unknown	1101
R_6WE2pAoGbHkCEXn	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_6Wf1997dIATqkLv	Distance Trip 2	1396	kilometers	1396	unknown	unknown	1396
R_6Xc6PWx3nXg1m5b	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_6xLDnusHHw1GkJX	Distance Trip 2	374	kilometers	374	unknown	unknown	374
R_6XnLmCuePblGbg5	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_82qZvoheUBnqUr7	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_8BolxzTpR8aSwdr	Distance Trip 2	900	miles	900	unknown	unknown	900
R_8BUpAvHQ3mTNbXj	Distance Trip 2	0	kilometers	0	unknown	unknown	0
R_8dCn2o8A2cp4fnP	Distance Trip 2	1091.51 (plane)	miles	1091.51	plane	plane	1091.51
R_8oX2HZ91XVWdqI9	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_8rmIk9pITL2P2sV	Distance Trip 2	20 (train)	miles	20	train	train	20
R_8v5CJI2iapZien7	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_8vKWbE6uDyd0cgh	Distance Trip 2	0	kilometers	0	unknown	unknown	0
R_9GkadSCHVizFaIV	Distance Trip 2	2500	miles	2500	unknown	unknown	2500
R_9H1NcBaRh5X2aiJ	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_9HwxSSkdjK9vGUx	Distance Trip 2	1500	kilometers	1500	unknown	unknown	1500
R_9Ko2TvdEh3RrBex	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_9uy4tLLZJ9UVi7v	Distance Trip 2	5494 km (plane)	kilometers	5494	plane	plane	5494
R_A5av4Wmjb9qJmEh	Distance Trip 2	1260 (plane)	kilometers	1260	plane	plane	1260
R_AigztOpQ8BNC8kV	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_AjMJe38zq3JBs77	Distance Trip 2	3200 (plane)	kilometers	3200	plane	plane	3200
R_AO398ZnEtABPFhT	Distance Trip 2	1000 (airplane)	miles	1000	plane	plane	1000
R_ApnikOw0CjOtzLH	Distance Trip 2	3000 (plane)	kilometers	3000	plane	plane	3000
R_aXdLiSXRyxwg7F7	Distance Trip 2	900	kilometers	900	unknown	unknown	900
R_aXLLW7kEsCDlEfD	Distance Trip 2	765 (train)	kilometers	765	train	train	765
R_aYoBfIb3GU3fEJP	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_AyTroK1mSxp7DFL	Distance Trip 2	612	kilometers	612	unknown	unknown	612
R_babgUSltxYcbXZn	Distance Trip 2	1002	kilometers	1002	unknown	unknown	1002
R_bEDse8jk3ThfEOZ	Distance Trip 2	Worldcon	NA	NA	NA	NA	NA
R_BK9mGok69aoy97H	Distance Trip 2	500	kilometers	500	unknown	unknown	500
R_BPRARQ9zxIYW3WF	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_BSnDLDWTYDicQlH	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_Bst1k9VQia0OwOB	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_BXFvENVMbO1x7bz	Distance Trip 2	300 (car)	miles	300	car	car	300
R_C2AgZbiGwdDRggF	Distance Trip 2	126 (car)	miles	126	car	car	126
R_C775xQKnDR7P0gp	Distance Trip 2	302.56	kilometers	302.56	unknown	unknown	302.56
R_Cf9jmh21EdFUVR7	Distance Trip 2	611 (plane)	miles	611	plane	plane	611
R_cUqHBMBwyXki7ex	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_CZTtIvKXB2KJXvb	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_d0Dj1ah7BYF4AtH	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_d6HxkdQ0bokcyOJ	Distance Trip 2	16000	kilometers	16000	unknown	unknown	16000
R_DAeY9f7QkUNrvfr	Distance Trip 2	1000 (plain)	miles	1000	plane	plane	1000
R_DGfuh87rwP8nSrD	Distance Trip 2	600 (plane)	miles	600	plane	plane	600
R_Diag7rx6AJnZDVv	Distance Trip 2	1000	miles	1000	unknown	unknown	1000
R_DiNvkXPpmCWbJxT	Distance Trip 2	1400	miles	1400	unknown	unknown	1400
R_DiZRaiXiQqOy5Y5	Distance Trip 2	100	miles	100	unknown	unknown	100
R_Dl9EK8gT1ZdyhKF	Distance Trip 2	1000 (plane)	miles	1000	plane	plane	1000
R_DMmE3oUSwFvOEHD	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_DvIqThWYmVoaGdj	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_e9Z8nNz5lFKsbvz	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_eCH66tZ62qO2AY9	Distance Trip 2	174	miles	174	unknown	unknown	174
R_eLIalVOuSvRjsYx	Distance Trip 2	1371 (flight)	miles	1371	plane	plane	1371
R_esPi3nfChNmQWaZ	Distance Trip 2	344 (car)	miles	344	car	car	344
R_NWLNAcYHkNiV1YJ	Distance Trip 2	34	miles	34	unknown	unknown	34
R_O8rwBkgscWjPuQ9	Distance Trip 2	6500 (flight)	kilometers	6500	plane	plane	6500
R_OATlIlPPB0wVxoB	Distance Trip 2	1643 (air)	miles	1643	plane	plane	1643
R_OoQ5zNgVr0bCMJb	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_OPz9utCC7l2e52h	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_OqbMiN236YiZ4Yx	Distance Trip 2	292	kilometers	292	unknown	unknown	292
R_Oqc0OumueA2h2Zb	Distance Trip 2	745	miles	745	unknown	unknown	745
R_OxUeMEuaMq8aSYx	Distance Trip 2	165 (car)	miles	165	car	car	165
R_p4OKFTGrLVLkYJH	Distance Trip 2	422: train	kilometers	422	train	train	422
R_pJBTBl4v2fhEjdf	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_pQSBr363RA4uiYh	Distance Trip 2	3000	miles	3000	unknown	unknown	3000
R_pRUZP9WpPPgB3fb	Distance Trip 2	1170 miles (plane)	miles	1170	plane	plane	1170
R_psZtN5vssJj8zHH	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_Q0to9pdZ29FO9uF	Distance Trip 2	450	kilometers	450	unknown	unknown	450
R_Q5sqLgtU9PEF4hH	Distance Trip 2	2100	kilometers	2100	unknown	unknown	2100
R_qLsYntoHEvXpLd7	Distance Trip 2	300	miles	300	unknown	unknown	300
R_qQKFo3rsHlqZnpL	Distance Trip 2	18.57 km (car)	kilometers	18.57	car	car	18.57
R_qUcKnsI9uueWQ1j	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_qWbFhfa361j95rb	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_r3loX1uXdvX6Bah	Distance Trip 2	430	NA	430	NA	NA	430
R_r7mjaaVCX8RL0IN	Distance Trip 2	250 (car/train combo)	miles	250	mixed	train	250
R_R8EPHI2OGrKD6zn	Distance Trip 2	350 (car)	miles	350	car	car	350
R_rcoYVo81aIZ780V	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_REueWtMUQk1oSIx	Distance Trip 2	10	miles	10	unknown	unknown	10
R_RghCxHm00oSp7Ed	Distance Trip 2	train	NA	NA	NA	NA	NA
R_rpEqcnCOPbPjcdz	Distance Trip 2	712 (flight)	miles	712	plane	plane	712
R_RyrjhgWVvtD6MbD	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_s6hPUtMxFLfYlSp	Distance Trip 2	11200 (plane)	kilometers	11200	plane	plane	11200
R_SAG2mlsSIsJguWt	Distance Trip 2	3000	miles	3000	unknown	unknown	3000
R_sAtCN1vHJdkwDXH	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_sHG45eo2rF70WTD	Distance Trip 2	405.72 (train)	kilometers	405.71999999999997	train	train	405.71999999999997
R_SIcZjdywqjaSgh3	Distance Trip 2	1200 miles (air)	miles	1200	plane	plane	1200
R_SJFMjW706yj1O9j	Distance Trip 2	113.98	miles	113.98	unknown	unknown	113.98
R_snbzR4oytlHFiJX	Distance Trip 2	167 miles	miles	167	unknown	unknown	167
R_so000Bwz3dIhzt7	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_sta92drbLRG4Q6d	Distance Trip 2	700 (train)	kilometers	700	train	train	700
R_STd4j9HtyAppIXL	Distance Trip 2	214	kilometers	214	unknown	unknown	214
R_sumBDIUAajd1zFf	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_svylpFKFjhz5bBD	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_tFFQgrhTulCLobv	Distance Trip 2	20	kilometers	20	unknown	unknown	20
R_To8nDv2NNWq6zgl	Distance Trip 2	1200 (air)	miles	1200	plane	plane	1200
R_tPQV5EFU2c4QdLX	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_tRGIBvPYRqhMk2l	Distance Trip 2	6855 (plane)	kilometers	6855	plane	plane	6855
R_tYvVmXQqSncHYit	Distance Trip 2	2300	miles	2300	unknown	unknown	2300
R_u2s6HLt9Osgddtv	Distance Trip 2	9613 (plane)	kilometers	9613	plane	plane	9613
R_UDDVdVujrqBmLFD	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_UlKJGGrWynaAOLD	Distance Trip 2	473 (plane)	miles	473	plane	plane	473
R_ULsC7zdajK1HAxH	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_Uut1Rc07XJbE6Gt	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_uwR5bLTPC7mPoxH	Distance Trip 2	120	miles	100	unknown	unknown	100
R_uwtGhNdO03VTEyt	Distance Trip 2	579.17	miles	579.1700000000001	unknown	unknown	579.1700000000001
R_UxB3LOADGTMkTBv	Distance Trip 2	0 km (online)	kilometers	0	virtual	virtual	0
R_uzcPwGCbiossOw9	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_V2c6MCl1dGQxHxf	Distance Trip 2	2	kilometers	2	unknown	unknown	2
R_VVknguw81AbTFFD	Distance Trip 2	5300	kilometers	5300	unknown	unknown	5300
R_VWmeEffnTt2AOgF	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_w7adQKp2mTJZ6Ap	Distance Trip 2	10 miles	miles	10	unknown	unknown	10
R_WClczoiwDZ6DZlv	Distance Trip 2	300 (plane)	miles	300	plane	plane	300
R_Wd3ngGkxh0Uv0pr	Distance Trip 2	16000 (plane)	kilometers	16000	plane	plane	16000
R_WiySzNpRJkdC4Hn	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_wLga7R7IpDCUDZf	Distance Trip 2	5960.16	miles	5960.160000000001	unknown	unknown	5960.160000000001
R_wUgzXepChDU7lip	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_wXVtlIpuI99IInv	Distance Trip 2	3	kilometers	3	unknown	unknown	3
R_wZvHnVevRLzcXEB	Distance Trip 2	2513 (plane)	miles	2513	plane	plane	2513
R_xFbmsKrkJ6Pvkqt	Distance Trip 2	250km	kilometers	250	unknown	unknown	250
R_xhIM1SBCz5KAuJP	Distance Trip 2	600 (plane)	miles	600	plane	plane	600
R_XpsX0zI5YKMP0Gt	Distance Trip 2	1500 (air)	miles	1500	plane	plane	1500
R_xrxfPFXoiYHsMk9	Distance Trip 2	none (local)	kilometers	0	foot	foot	0
R_XsTMVypqxxg6n4J	Distance Trip 2	20	kilometers	20	unknown	unknown	20
R_yEGDlR2IrUkIEtH	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_yJv2q97HoYPIDgB	Distance Trip 2	2000	kilometers	2000	unknown	unknown	2000
R_yL1QG2gP1Yzznbj	Distance Trip 2	450 mi (drove)	miles	450	car	car	450
R_yn17MT6GwMFKf0l	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_ysFNrC22m7vu2s1	Distance Trip 2	2233 (airplane)	kilometers	2233	plane	plane	2233
R_yU4NR75V13oZgxX	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_yVHToot1NGxXeal	Distance Trip 2	770 (plane)	miles	770	plane	plane	770
R_YWcGjo1MdxjEyIN	Distance Trip 2	1930 (flight + train)	kilometers	1930	mixed	plane	1930
R_Z3HkSHYrlkE4WAN	Distance Trip 2	0 (online)	kilometers	0	virtual	virtual	0
R_ZBSwRukfizzN0lj	Distance Trip 2	500 (train)	miles	500	train	train	500
R_ZCfOUnh4AnZ77j3	Distance Trip 2	NA	NA	NA	NA	NA	NA
R_ZfwFLrQejWsp2sF	Distance Trip 2	400 km	kilometers	400	unknown	unknown	400
R_0BP7zR2MKyh3vIl	Distance Trip 3	1 (walked)	miles	1	foot	foot	1
R_0GTMaMfZ1jxs1bP	Distance Trip 3	675 (car)	miles	675	car	car	675
R_0IHfoAVKSvpIqtP	Distance Trip 3	4620	kilometers	4620	unknown	unknown	4620
R_0MX8CR4MyvEXvfb	Distance Trip 3	1400 (plane)	kilometers	1400	plane	plane	1400
R_0qPsmMEZF7y49mp	Distance Trip 3	190	kilometers	190	unknown	unknown	190
R_10BCdY8vQcfP2oV	Distance Trip 3	1 walk	miles	1	foot	foot	1
R_10DlrvWqhArIiET	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_10TXGqZUTqG8ut2	Distance Trip 3	1100	miles	1100	unknown	unknown	1100
R_10U9zJ1QLGEnlmd	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1115lNNEG1UKct5	Distance Trip 3	589.99 km (plane)	kilometers	589.99	plane	plane	589.99
R_11dSAtu3J96kKqd	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_11dXdV84r8IzDTH	Distance Trip 3	406 (train)	kilometers	406	train	train	406
R_11Y46zJutoqOHRr	Distance Trip 3	700 (plane)	miles	700	plane	plane	700
R_125c2AOYHeGaTgi	Distance Trip 3	2500	miles	2500	unknown	unknown	2500
R_129M763IUarJYtN	Distance Trip 3	700 (car)	kilometers	700	car	car	700
R_12bPJtmQb73gQE6	Distance Trip 3	4000 (flight)	kilometers	4000	plane	plane	4000
R_12EC0y6uZAXkTyl	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_12fmt2xHBgSLBma	Distance Trip 3	824 (plane)	miles	834	plane	plane	834
R_12lEwQ4jdiSgZ2c	Distance Trip 3	150	kilometers	150	unknown	unknown	150
R_12LsgkwWBuw1YJz	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_12rnvggeoyd1d9r	Distance Trip 3	551 - plane & trains	kilometers	551	mixed	plane	551
R_12z0J1BGsodpOhU	Distance Trip 3	500 miles train	miles	500	train	train	500
R_1BrRKOq1cfKOb9D	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1BXFPuXfJDbZ8xu	Distance Trip 3	106 (car)	miles	106	car	car	106
R_1BXh828qsKj610k	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1CC6VdytGBvrwQH	Distance Trip 3	40	miles	40	unknown	unknown	40
R_1CCO3t4hGvAtIPg	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1Cf5Zd3LgfB5gHf	Distance Trip 3	5545 (plane)	miles	5545	plane	plane	5545
R_1CKKRvwMmaRkgLp	Distance Trip 3	3800 (air)	miles	3800	plane	plane	3800
R_1d5mxy1CvLhHL3N	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1d6wnqZLFroaB7n	Distance Trip 3	international	NA	NA	NA	NA	NA
R_1d9VRfxe6UR210o	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1DGpwayBSEGH0Fi	Distance Trip 3	332	miles	332	unknown	unknown	332
R_1Dw0dMaJzZohiQG	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1DwfPSovWvweOa0	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1E7pRIEDtz8fGu4	Distance Trip 3	320 (car)	miles	320	car	car	320
R_1EbLxW6uqZm7NVp	Distance Trip 3	2200 (plane)	miles	2200	plane	plane	2200
R_1eOVoD9MqIC0g3D	Distance Trip 3	16000 (air)	kilometers	1600	plane	NA	1600
R_1eUBFRZ3KjZbjaJ	Distance Trip 3	40 miles (ferry)	miles	40	ferry	ferry	40
R_1ez826MsX3v3f59	Distance Trip 3	1748 (plane)	miles	1748	plane	plane	1748
R_1f8XIqhpbSynZlQ	Distance Trip 3	600 (car)	miles	600	car	car	600
R_1fd3dprlmeg7Vk8	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1FfjXfTNDAPO9x8	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1FL1yiThokvXZ4y	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1FnfQUA3Lyt4jIv	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1GH4VOE6W4TxXIi	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1GK8iup7wdppU3e	Distance Trip 3	32	kilometers	32	unknown	unknown	32
R_1GtQ3ycdmwIbYFH	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1gUASWDcle7bjTP	Distance Trip 3	497	NA	NA	NA	NA	NA
R_1guLFi4qHGObDXq	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1HixXGCAuBbbz0g	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1hJWWzCHEUJXm5o	Distance Trip 3	604.84	miles	604.8399999999999	unknown	unknown	604.8399999999999
R_1i3VdJIBOgQD52Q	Distance Trip 3	2000 (plane)	kilometers	2000	plane	plane	2000
R_1I5cxp7nd6i0psR	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1I9JtgEHB0L7vs7	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1IbJSZLqlV6STJN	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1ifUIXZ2gxC5RXX	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1IsoswokRTHtVg1	Distance Trip 3	184 (bus)	miles	184	bus	bus	184
R_1iswfM49Ocz5YB3	Distance Trip 3	3909 mi (plane)	miles	3909	plane	plane	3909
R_1JDcDDC0dTQmc1j	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1jIFD1p97B3pi48	Distance Trip 3	3779.83 km (airplane)	kilometers	3779.8300000000004	plane	plane	3779.8300000000004
R_1jv1hu8plEj1QNS	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1JVMlGUFBhXm4K8	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1KjYV0SKPw3WaeE	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1KlLOQpW8b9BOSW	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1KvWtE5Qfcdteax	Distance Trip 3	30 (car)	miles	30	car	car	30
R_1l0klEB60FihAcl	Distance Trip 3	CDS, 300 mi (car)	miles	300	car	car	300
R_1lgiypKtcdI6x3l	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1LhSpyotS3oFByI	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1LMDwRnxo4hl52T	Distance Trip 3	1310	miles	1310	unknown	unknown	1310
R_1lnT8Pb8t8U7Lu2	Distance Trip 3	NA	NA	NA	NA	NA	NA
R_1LwzxWPtDRJQP92	Distance Trip 3	235 (train)	kilometers	235	train	train	235
R_1M6tY48bUSBhVXT	Distance Trip 3	600 (train)	kilometers	600	train	train	600
R_1MKgfYRKq77EOmh	Distance Trip 3	1347 (Air)	miles	1347	plane	plane	1347
